"";BBIM1.M.DE.B.A2C.A.C.A.2250.EUR.N;BBIM1.M.DE.B.A2C.A.C.A.2250.EUR.N_FLAGS
"";Effektivzinssätze Banken DE / Neugeschäft / Wohnungsbaukredite an private Haushalte (effektiver Jahreszinssatz einschl. Kosten) / SUD131;
Dezimalstellen;2;
Dimension;Eins;
Einheit;% p.a.;
Format der Zeitangabe;P1M;
Kategorie;GKZR;
Kommentar;"Die auf harmonisierter Basis im Euro-Währungsgebiet erhobene MFI-Zinsstatistik wird in Deutschland als Stichprobenerhebung (geschichtete Stichprobe) durchgeführt. Volumengewichteter Durchschnittssatz über alle im Laufe des Berichtsmonats abgeschlossenen Neuvereinbarungen. (Bis Mai 2010 wurde der Aggregatszinssatz als mit den gemeldeten Neugeschäftsvolumina gewichteter Durchschnittssatz berechnet. Ab Juni 2010 wird zunächst ein mit dem gemeldeten Neugeschäftsvolumen gewichteter Zinssatz pro Schicht berechnet. Der Aggregatszinssatz wird ermittelt, indem die Schichtenzinssätze mit den hochgerechneten Volumina gewichtet werden.) Effektivzinssatz, der die eventuell anfallenden sonstigen Kosten, wie z.B. für Anfragen, Verwaltung, Erstellung der Dokumente, Garantien und Kreditversicherungen, beinhaltet. Wohnungsbaukredite sind besicherte und unbesicherte Kredite, diefür die Beschaffung von Wohnraum, einschl. Wohnungsbau und -modernisierung gewährt werden; einschl. Bauspardarlehen und Bauzwischenfinanzierungen sowie Weiterleitungskredite, die die Meldepflichtigen im eigenen Namen und auf eigene Rechnung ausgereicht haben.";
Stand vom;05.03.2024 10:10:17 Uhr;
2003-01;5,39;
2003-02;5,18;
2003-03;5,07;
2003-04;5,04;
2003-05;4,97;
2003-06;4,82;
2003-07;4,69;
2003-08;4,79;
2003-09;4,90;
2003-10;4,90;
2003-11;5,00;
2003-12;5,06;
2004-01;5,02;
2004-02;4,95;
2004-03;4,85;
2004-04;4,76;
2004-05;4,80;
2004-06;4,83;
2004-07;4,84;
2004-08;4,88;
2004-09;4,87;
2004-10;4,78;
2004-11;4,72;
2004-12;4,61;
2005-01;4,55;
2005-02;4,49;
2005-03;4,49;
2005-04;4,50;
2005-05;4,40;
2005-06;4,27;
2005-07;4,22;
2005-08;4,19;
2005-09;4,18;
2005-10;4,19;
2005-11;4,25;
2005-12;4,34;
2006-01;4,41;
2006-02;4,40;
2006-03;4,50;
2006-04;4,60;
2006-05;4,68;
2006-06;4,75;
2006-07;4,83;
2006-08;4,87;
2006-09;4,84;
2006-10;4,81;
2006-11;4,82;
2006-12;4,80;
2007-01;4,85;
2007-02;4,96;
2007-03;4,95;
2007-04;4,99;
2007-05;5,04;
2007-06;5,19;
2007-07;5,33;
2007-08;5,37;
2007-09;5,31;
2007-10;5,29;
2007-11;5,27;
2007-12;5,28;
2008-01;5,28;
2008-02;5,15;
2008-03;5,09;
2008-04;5,13;
2008-05;5,19;
2008-06;5,30;
2008-07;5,47;
2008-08;5,54;
2008-09;5,45;
2008-10;5,42;
2008-11;5,27;
2008-12;4,96;
2009-01;4,83;
2009-02;4,58;
2009-03;4,42;
2009-04;4,34;
2009-05;4,29;
2009-06;4,31;
2009-07;4,31;
2009-08;4,28;
2009-09;4,22;
2009-10;4,17;
2009-11;4,14;
2009-12;4,13;
2010-01;4,08;
2010-02;4,06;
2010-03;3,96;
2010-04;3,97;
2010-05;3,89;
2010-06;3,77;Bemerkung
2010-07;3,63;
2010-08;3,70;
2010-09;3,59;
2010-10;3,55;
2010-11;3,62;
2010-12;3,73;
2011-01;3,75;
2011-02;3,95;
2011-03;4,04;
2011-04;4,13;
2011-05;4,21;
2011-06;4,17;
2011-07;4,08;
2011-08;4,04;
2011-09;3,84;
2011-10;3,65;
2011-11;3,62;
2011-12;3,57;
2012-01;3,54;
2012-02;3,49;
2012-03;3,35;
2012-04;3,39;
2012-05;3,26;
2012-06;3,12;
2012-07;3,06;
2012-08;2,98;
2012-09;2,93;
2012-10;2,89;
2012-11;2,87;
2012-12;2,88;
2013-01;2,80;
2013-02;2,82;
2013-03;2,83;
2013-04;2,83;
2013-05;2,74;
2013-06;2,67;
2013-07;2,72;
2013-08;2,82;
2013-09;2,88;
2013-10;2,90;
2013-11;2,93;
2013-12;2,85;
2014-01;2,87;
2014-02;2,88;
2014-03;2,76;
2014-04;2,77;
2014-05;2,67;
2014-06;2,59;
2014-07;2,50;
2014-08;2,46;
2014-09;2,34;
2014-10;2,28;
2014-11;2,20;
2014-12;2,17;
2015-01;2,15;
2015-02;2,01;
2015-03;1,92;
2015-04;1,91;
2015-05;1,81;
2015-06;1,89;
2015-07;2,04;
2015-08;2,09;
2015-09;2,07;
2015-10;2,07;
2015-11;2,04;
2015-12;1,98;
2016-01;2,00;
2016-02;1,97;
2016-03;1,85;
2016-04;1,93;
2016-05;1,86;
2016-06;1,82;
2016-07;1,78;
2016-08;1,74;
2016-09;1,70;
2016-10;1,68;
2016-11;1,67;
2016-12;1,72;
2017-01;1,82;
2017-02;1,87;
2017-03;1,87;
2017-04;1,91;
2017-05;1,88;
2017-06;1,87;
2017-07;1,88;
2017-08;1,94;
2017-09;1,92;
2017-10;1,90;
2017-11;1,90;
2017-12;1,86;
2018-01;1,88;
2018-02;1,90;
2018-03;1,94;
2018-04;1,94;
2018-05;1,96;
2018-06;1,95;
2018-07;1,94;
2018-08;1,93;
2018-09;1,92;
2018-10;1,91;
2018-11;1,94;
2018-12;1,90;
2019-01;1,92;
2019-02;1,84;
2019-03;1,80;
2019-04;1,72;
2019-05;1,68;
2019-06;1,63;
2019-07;1,54;
2019-08;1,43;
2019-09;1,34;
2019-10;1,31;
2019-11;1,31;
2019-12;1,34;
2020-01;1,39;
2020-02;1,33;
2020-03;1,27;
2020-04;1,29;
2020-05;1,37;
2020-06;1,38;
2020-07;1,32;
2020-08;1,28;
2020-09;1,26;
2020-10;1,24;
2020-11;1,22;
2020-12;1,21;
2021-01;1,23;
2021-02;1,22;
2021-03;1,22;
2021-04;1,27;
2021-05;1,31;
2021-06;1,34;
2021-07;1,36;
2021-08;1,31;
2021-09;1,31;
2021-10;1,32;
2021-11;1,36;
2021-12;1,37;
2022-01;1,39;
2022-02;1,49;
2022-03;1,69;
