Date,Bitcoin,Ethereum,Cardano,Litecoin
07.02.2024,"41111,414","2249,5806","0,4656","63,6161"
06.02.2024,"40068,6934","2206,4906","0,4635","63,5192"
05.02.2024,"39710,9729","2140,1694","0,4592","62,9518"
04.02.2024,"39499,7296","2123,963","0,4591","62,0998"
03.02.2024,"39799,8145","2125,5833","0,4751","63,7501"
02.02.2024,"39980,5857","2136,7727","0,4759","62,9572"
01.02.2024,"39608,3727","2118,2655","0,4656","62,0703"
31.01.2024,"39405,2055","2112,6987","0,461","61,7528"
30.01.2024,"39576,1925","2163,1703","0,4744","62,1995"
29.01.2024,"39927,4252","2136,6421","0,4849","63,207"
28.01.2024,"38756,199","2081,5095","0,4517","63,0932"
27.01.2024,"38767,358","2087,52","0,4476","62,6663"
26.01.2024,"38545,6267","2088,8115","0,4463","61,6476"
25.01.2024,"36808,8782","2045,1466","0,4301","60,4002"
24.01.2024,"36860,076","2054,182","0,4381","60,8587"
23.01.2024,"36682,8209","2065,0425","0,4389","60,2933"
22.01.2024,"36266,5572","2121,9161","0,4395","61,8169"
21.01.2024,"38135,2681","2251,8668","0,4625","65,7423"
20.01.2024,"38193,9574","2263,2577","0,4722","65,3824"
19.01.2024,"38158,0493","2282,8763","0,4603","65,2377"
18.01.2024,"37931,2539","2268,0033","0,4615","62,4819"
17.01.2024,"39258,0557","2322,1434","0,4839","63,7242"
16.01.2024,"39666,4624","2378,816","0,4925","63,8676"
15.01.2024,"38904,8643","2297,3535","0,4826","63,2828"
14.01.2024,"38161,4369","2257,5331","0,4808","63,764"
13.01.2024,"39072,183","2349,6078","0,5014","65,6602"
12.01.2024,"39126,1072","2304,1911","0,4991","66,4779"
11.01.2024,"42254,2789","2387,3757","0,5298","65,5121"
10.01.2024,"42470,4079","2355,0403","0,5168","63,6536"
09.01.2024,"42162,6534","2142,2256","0,4672","61,2625"
08.01.2024,"42869,2619","2130,0849","0,4939","61,8986"
07.01.2024,"40111,9974","2030,8284","0,4514","58,7248"
06.01.2024,"40121,5495","2044,6464","0,4771","59,923"
05.01.2024,"40297,2623","2069,1396","0,4926","60,2213"
04.01.2024,"40405,0054","2075,9629","0,5212","60,7292"
03.01.2024,"39199,1005","2023,529","0,5099","59,7638"
02.01.2024,"41100,1973","2156,2689","0,5537","66,7155"
01.01.2024,"40004,0369","2129,0846","0,5644","67,6906"
31.12.2023,"38255,5816","2066,1929","0,5379","65,949"
30.12.2023,"38184,8705","2074,6259","0,545","66,3407"
29.12.2023,"38059,8102","2080,0169","0,5503","66,3606"
28.12.2023,"38509,8132","2120,51","0,5582","69,3526"
27.12.2023,"39086,6994","2141,3271","0,5706","68,2519"
26.12.2023,"38514,4533","2020,8653","0,5509","66,2184"
25.12.2023,"39584,5114","2062,6109","0,568","65,6355"
24.12.2023,"39074,0685","2058,46","0,5394","64,6458"
23.12.2023,"39678,54","2094,6581","0,5579","65,8379"
22.12.2023,"39929,6258","2111,5391","0,5664","66,8959"
21.12.2023,"39861,8847","2033,9239","0,5789","64,4038"
20.12.2023,"39864,6207","2009,0708","0,539","63,7823"
19.12.2023,"38494,8084","1983,2583","0,5247","64,2758"
18.12.2023,"39051,2786","2029,5432","0,55","64,8277"
17.12.2023,"38004,063","2017,7219","0,5326","65,382"
16.12.2023,"38707,761","2039,912","0,5564","66,1127"
15.12.2023,"38455,6195","2033,9189","0,5519","65,0322"
14.12.2023,"39149,3694","2106,9093","0,5845","66,3535"
13.12.2023,"39426,7132","2077,4406","0,6085","67,2762"
12.12.2023,"38433,824","2041,2937","0,5332","67,0627"
