Datum,Emittent,Pfandbriefart,Fälligkeit,Spread,,ausstehendes Volumen,Kupon,,ISIN
02.01.2024,Aareal Bank,HypPfe,18.05.2026,24,3,500000000,3,875,DE000AAR0397
02.01.2024,Aareal Bank,HypPfe,01.02.2029,35,8,750000000,1,375,DE000AAR0330
02.01.2024,Aareal Bank,HypPfe,01.02.2030,35,6,750000000,0,125,DE000AAR0314
02.01.2024,Aareal Bank,HypPfe,15.07.2025,15,1,500000000,0,375,DE000AAR0215
02.01.2024,Aareal Bank,HypPfe,15.09.2028,35,4,500000000,0,10,DE000AAR0306
02.01.2024,Aareal Bank,HypPfe,14.09.2029,37,4,625000000,2,375,DE000AAR0363
02.01.2024,Aareal Bank,HypPfe,01.02.2027,28,3,500000000,2,250,DE000AAR0348
02.01.2024,Aareal Bank,HypPfe,13.02.2026,14,5,750000000,3,125,DE000AAR0389
02.01.2024,Aareal Bank,HypPfe,01.02.2028,33,1,500000000,0,10,DE000AAR0280
02.01.2024,Aareal Bank,HypPfe,11.10.2027,31,9,750000000,3,0,DE000AAR0371
02.01.2024,Aareal Bank,HypPfe,08.07.2027,30,2,500000000,0,10,DE000AAR0256
02.01.2024,Aareal Bank,HypPfe,03.08.2026,23,7,500000000,0,10,DE000AAR0272
02.01.2024,APOBANK,HypPfe,14.02.2025,5,7,500000000,0,500,XS1770021860
02.01.2024,APOBANK,HypPfe,05.07.2028,17,9,500000000,0,750,XS1852086211
02.01.2024,APOBANK,HypPfe,13.11.2029,19,8,500000000,0,50,XS2079126467
02.01.2024,APOBANK,HypPfe,05.10.2027,14,9,500000000,0,750,XS1693853944
02.01.2024,APOBANK,HypPfe,06.02.2029,19,0,500000000,0,10,XS2113737097
02.01.2024,BAUSCH,HypPfe,27.04.2033,30,2,500000000,0,200,DE000A3E5S18
02.01.2024,BAUSCH,HypPfe,13.09.2029,15,3,500000000,2,375,DE000A30VN02
02.01.2024,BAUSCH,HypPfe,22.10.2030,21,8,500000000,0,10,DE000A3H24G6
02.01.2024,BAUSCH,HypPfe,24.06.2032,26,8,500000000,2,875,DE000A30V8H6
02.01.2024,BAUSCH,HypPfe,28.10.2031,24,1,500000000,0,200,DE000A3MP6H1
02.01.2024,BAUSCH,HypPfe,17.05.2034,35,6,500000000,2,0,DE000A30VH59
02.01.2024,BAYERN LB,HypPfe,30.04.2031,18,9,500000000,0,50,DE000BLB6JK8
02.01.2024,BAYERN LB,OePfe,20.05.2030,17,5,500000000,0,200,DE000BLB6JM4
02.01.2024,BAYERN LB,HypPfe,19.10.2027,10,5,500000000,3,125,DE000BLB6JT9
02.01.2024,BAYERN LB,OePfe,19.07.2027,10,8,500000000,0,625,DE000BLB6JE1
02.01.2024,BAYERN LB,OePfe,20.01.2026,5,2,500000000,0,750,DE000BLB6JB7
02.01.2024,BAYERN LB,OePfe,22.05.2029,20,3,500000000,3,0,DE000BLB6JV5
02.01.2024,BAYERN LB,OePfe,12.01.2033,22,7,500000000,2,875,DE000BLB6JR3
02.01.2024,BAYERN LB,OePfe,28.06.2032,18,1,500000000,2,500,DE000BLB6JP7
02.01.2024,BAYERN LB,OePfe,19.01.2028,17,3,650000000,0,750,DE000BLB6JC5
02.01.2024,BAYERN LB,HypPfe,14.01.2025,0,1,500000000,0,250,DE000BLB6JG6
02.01.2024,BAYERN LB,OePfe,02.11.2029,18,4,500000000,0,125,DE000BLB6JL6
02.01.2024,BAYERN LB,OePfe,10.09.2025,4,8,500000000,0,875,DE000BLB6H95
02.01.2024,BAYERN LB,OePfe,01.09.2031,19,2,500000000,2,125,DE000BLB6JQ5
02.01.2024,BAYERN LB,OePfe,05.02.2029,17,4,500000000,0,750,DE000BLB6JH4
02.01.2024,BAYERN LB,HypPfe,11.01.2027,10,1,500000000,3,500,DE000BLB6J02
02.01.2024,BAYERN LB,OePfe,19.03.2025,2,6,500000000,0,500,DE000BLB6JD3
02.01.2024,BERLIN HYP,HypPfe,22.10.2025,3,8,500000000,0,625,DE000BHY0GC3
02.01.2024,BERLIN HYP,HypPfe,24.01.2028,13,1,500000000,0,10,DE000BHY0GE9
02.01.2024,BERLIN HYP,HypPfe,02.09.2030,19,2,500000000,0,10,DE000BHY0GX9
02.01.2024,BERLIN HYP,HypPfe,10.05.2032,20,6,750000000,1,750,DE000BHY0SB0
02.01.2024,BERLIN HYP,HypPfe,25.08.2025,-1,2,1000000000,1,250,DE000BHY0GK6
02.01.2024,BERLIN HYP,HypPfe,17.02.2027,9,0,500000000,0,10,DE000BHY0B14
02.01.2024,BERLIN HYP,HypPfe,10.01.2033,22,1,500000000,3,0,DE000BHY0GM2
02.01.2024,BERLIN HYP,HypPfe,29.05.2029,17,4,500000000,0,375,DE000BHY0BQ4
02.01.2024,BERLIN HYP,HypPfe,07.03.2028,13,5,750000000,3,375,DE000BHY0JY1
02.01.2024,BERLIN HYP,HypPfe,18.01.2030,16,8,1000000000,0,125,DE000BHY0H34
02.01.2024,BERLIN HYP,HypPfe,27.01.2031,20,1,500000000,0,10,DE000BHY0C47
02.01.2024,BERLIN HYP,HypPfe,24.08.2026,8,6,750000000,0,10,DE000BHY0HZ2
02.01.2024,BERLIN HYP,HypPfe,07.07.2028,14,1,500000000,0,10,DE000BHY0GD1
02.01.2024,BERLIN HYP,HypPfe,21.02.2025,-1,9,500000000,0,375,DE000BHY0MQ1
02.01.2024,BERLIN HYP,HypPfe,24.05.2030,20,8,750000000,2,875,DE000BHY0GT7
02.01.2024,BERLIN HYP,HypPfe,23.08.2028,14,7,500000000,3,375,DE000BHY0SC8
02.01.2024,BERLIN HYP,HypPfe,19.07.2027,10,7,500000000,0,10,DE000BHY0GL4
02.01.2024,BERLIN HYP,HypPfe,25.10.2027,11,9,750000000,3,0,DE000BHY0JW5
02.01.2024,BERLIN HYP,HypPfe,23.02.2029,15,8,500000000,0,625,DE000BHY0JD5
02.01.2024,BERLIN HYP,HypPfe,11.05.2026,0,6,500000000,3,0,DE000BHY0SP0
02.01.2024,BERLIN HYP,HypPfe,26.02.2026,3,0,500000000,0,750,DE000BHY0MX7
02.01.2024,BERLIN HYP,HypPfe,19.05.2033,21,1,750000000,0,250,DE000BHY0HW9
02.01.2024,COMMERZBANK,OePfe,12.12.2025,3,0,750000000,3,375,DE000CZ43Z15
02.01.2024,COMMERZBANK,HypPfe,24.08.2027,19,2,1000000000,0,625,DE000CZ40MB7
02.01.2024,COMMERZBANK,HypPfe,08.12.2025,2,1,1000000000,2,750,DE000CZ43ZJ6
02.01.2024,COMMERZBANK,HypPfe,15.12.2026,12,0,750000000,0,125,DE000CZ40LQ7
02.01.2024,COMMERZBANK,HypPfe,09.05.2029,24,3,500000000,0,50,DE000CZ45VF8
02.01.2024,COMMERZBANK,HypPfe,11.03.2030,24,0,1250000000,0,10,DE000CZ45VS1
02.01.2024,COMMERZBANK,HypPfe,28.04.2026,2,9,1000000000,2,875,DE000CZ43ZS7
02.01.2024,COMMERZBANK,HypPfe,09.06.2026,10,2,1000000000,0,500,DE000CZ40LG8
02.01.2024,COMMERZBANK,HypPfe,13.03.2025,3,4,500000000,0,625,DE000CZ40MN2
02.01.2024,COMMERZBANK,HypPfe,09.01.2034,33,8,1000000000,1,250,DE000CZ40NP5
02.01.2024,COMMERZBANK,HypPfe,13.06.2033,32,1,750000000,3,125,DE000CZ43Z23
02.01.2024,COMMERZBANK,HypPfe,28.08.2028,23,6,1250000000,3,375,DE000CZ43Z72
02.01.2024,COMMERZBANK,HypPfe,15.03.2027,16,8,1500000000,0,500,DE000CZ45W16
02.01.2024,COMMERZBANK,HypPfe,18.04.2028,18,9,750000000,0,875,DE000CZ40MQ5
02.01.2024,COMMERZBANK,HypPfe,01.09.2032,29,8,1000000000,2,250,DE000CZ45W99
02.01.2024,COMMERZBANK,HypPfe,28.05.2025,2,8,1000000000,0,625,DE000CZ40MU7
02.01.2024,COMMERZBANK,HypPfe,12.01.2032,28,1,1000000000,0,250,DE000CZ45WY7
02.01.2024,COMMERZBANK,HypPfe,08.09.2025,2,1,500000000,0,875,DE000CZ40KZ0
02.01.2024,COMMERZBANK,HypPfe,13.10.2028,23,0,750000000,2,875,DE000CZ43ZF4
02.01.2024,COMMERZBANK,HypPfe,20.04.2029,25,9,1250000000,3,125,DE000CZ43ZX7
02.01.2024,DEUTSCHE BANK AG,HypPfe,09.06.2026,10,7,750000000,0,500,DE000DL19S01
02.01.2024,DEUTSCHE BANK AG,HypPfe,20.09.2027,17,8,1000000000,2,250,DE000A30VPC2
02.01.2024,DEUTSCHE BANK AG,HypPfe,02.10.2029,22,0,500000000,0,10,DE000DL19UW8
02.01.2024,DEUTSCHE BANK AG,HypPfe,21.01.2030,22,4,500000000,0,125,DE000DL19U31
02.01.2024,DEUTSCHE BANK AG,HypPfe,19.10.2026,11,0,500000000,3,125,DE000A351NR4
02.01.2024,DEUTSCHE BANK AG,HypPfe,21.08.2025,6,1,500000000,0,625,DE000DL19T67
02.01.2024,DEUTSCHE BANK AG,HypPfe,28.03.2028,21,0,1000000000,3,0,DE000A30V2V0
02.01.2024,DEUTSCHE BANK AG,HypPfe,22.01.2026,8,6,500000000,0,500,DE000DL19UM9
02.01.2024,DEUTSCHE BANK AG,HypPfe,13.03.2029,26,7,500000000,3,375,DE000A352BT3
02.01.2024,DEUTSCHE BANK AG,HypPfe,30.06.2037,40,0,800000000,2,625,DE000DL19WV6
02.01.2024,DEUTSCHE BANK AG,HypPfe,20.09.2032,28,3,500000000,2,500,DE000A30VPD0
02.01.2024,DEUTSCHE BANK AG,HypPfe,19.05.2033,32,3,500000000,3,125,DE000A351TP5
02.01.2024,DKB,OePfe,07.11.2029,17,5,500000000,0,10,DE000SCB0021
02.01.2024,DKB,HypPfe,19.03.2027,11,2,500000000,0,500,DE000DKB0432
02.01.2024,DKB,HypPfe,05.05.2032,21,0,500000000,1,625,DE000SCB0039
02.01.2024,DKB,OePfe,02.10.2028,16,2,500000000,0,875,DE000SCB0005
02.01.2024,DKB,HypPfe,31.01.2035,27,6,500000000,3,0,DE000SCB0047
02.01.2024,DZHYP,HypPfe,26.10.2026,14,7,1000000000,0,10,DE000A3E5UY4
02.01.2024,DZHYP,HypPfe,29.06.2029,21,0,750000000,0,50,DE000A2TSDV6
02.01.2024,DZHYP,HypPfe,23.06.2028,17,0,1000000000,0,10,DE000A289PA7
02.01.2024,DZHYP,HypPfe,12.11.2027,16,7,500000000,0,10,DE000A2TSDY0
02.01.2024,DZHYP,HypPfe,30.11.2032,25,9,500000000,3,0,DE000A3MQUZ8
02.01.2024,DZHYP,HypPfe,31.01.2028,16,7,500000000,3,375,DE000A351XK8
02.01.2024,DZHYP,HypPfe,31.03.2026,9,4,500000000,0,375,DE000A14KKM9
02.01.2024,DZHYP,OePfe,29.10.2027,14,9,500000000,3,0,DE000A3MQU11
02.01.2024,DZHYP,HypPfe,30.07.2027,15,5,500000000,3,250,DE000A351XS1
02.01.2024,DZHYP,HypPfe,15.11.2030,20,4,750000000,0,10,DE000A3E5UU2
02.01.2024,DZHYP,HypPfe,13.11.2025,4,5,1000000000,0,500,DE000A2G9HE4
02.01.2024,DZHYP,HypPfe,16.01.2026,0,5,500000000,3,0,DE000A3MQUY1
02.01.2024,DZHYP,HypPfe,30.06.2027,13,6,500000000,0,750,DE000A2G9HD6
02.01.2024,DZHYP,HypPfe,29.03.2030,21,0,1000000000,0,10,DE000A3H2TK9
02.01.2024,DZHYP,HypPfe,15.01.2027,13,7,1000000000,0,10,DE000A2TSDW4
02.01.2024,DZHYP,HypPfe,20.04.2029,19,8,1000000000,0,10,DE000A3H2TQ6
02.01.2024,DZHYP,HypPfe,30.08.2027,14,5,750000000,0,625,DE000A2BPJ86
02.01.2024,DZHYP,HypPfe,02.02.2026,7,1,875000000,0,750,DE000A161ZQ3
02.01.2024,DZHYP,HypPfe,31.05.2033,26,6,500000000,3,250,DE000A3MQU45
02.01.2024,DZHYP,HypPfe,18.01.2030,20,9,750000000,0,875,DE000A13SR38
02.01.2024,DZHYP,HypPfe,17.04.2034,28,8,500000000,0,875,DE000A2NB841
02.01.2024,DZHYP,HypPfe,22.03.2028,16,1,750000000,0,875,DE000A2GSP56
02.01.2024,DZHYP,HypPfe,28.11.2031,24,4,750000000,2,500,DE000A3MQUX3
02.01.2024,DZHYP,HypPfe,30.05.2031,23,0,750000000,1,625,DE000A3MP684
02.01.2024,DZHYP,HypPfe,01.04.2027,14,8,750000000,0,500,DE000A14J5J4
02.01.2024,DZHYP,OePfe,10.11.2034,29,0,500000000,0,375,DE000A2TSDZ7
02.01.2024,DZHYP,HypPfe,12.09.2025,1,9,1000000000,0,10,DE000A289PC3
02.01.2024,DZHYP,HypPfe,30.09.2026,11,1,500000000,0,500,DE000A2AAW53
02.01.2024,DZHYP,HypPfe,27.10.2028,18,5,1000000000,0,10,DE000A289PH2
02.01.2024,DZHYP,HypPfe,31.08.2026,11,4,500000000,0,100,DE000A2AAX45
02.01.2024,DZHYP,HypPfe,30.01.2029,21,0,750000000,0,875,DE000A2G9HL9
02.01.2024,DZHYP,HypPfe,21.11.2029,21,2,1000000000,0,750,DE000A3MP619
02.01.2024,HASPA,HypPfe,11.02.2028,13,3,500000000,0,10,DE000A254YU1
02.01.2024,HASPA,HypPfe,30.03.2027,10,0,500000000,0,750,DE000A3MQYT3
02.01.2024,HASPA,HypPfe,15.09.2028,14,8,500000000,3,0,DE000A351M80
02.01.2024,HCOB,HypPfe,20.07.2027,27,0,500000000,2,0,DE000HCB0BN7
02.01.2024,HCOB,HypPfe,19.01.2027,23,2,500000000,0,10,DE000HCB0BH9
02.01.2024,HCOB,HypPfe,01.07.2026,19,8,500000000,3,125,DE000HCB0BP2
02.01.2024,HCOB,HypPfe,01.02.2028,33,5,500000000,3,375,DE000HCB0BV0
02.01.2024,HCOB,HypPfe,02.11.2028,29,8,500000000,0,100,DE000HCB0BC0
02.01.2024,HELABA,HypPfe,19.01.2037,33,1,1000000000,0,500,XS2433240764
02.01.2024,HELABA,HypPfe,12.01.2027,11,8,1000000000,0,625,XS1548773982
