Date,Microsoft,JP Morgan,Toyota,AXA,Siemens-Bond,Microsoft Bond,ExxonMobil Bond,Germany Bond
07.02.2024,"384,2","162,6","20,565","30,45","79,81","109,5","94,88","53,133"
06.02.2024,"375,3","162,6","20,17","30,7","80,15","109,388","94,8","53,049"
05.02.2024,"377,1","162,9","18,934","30,245","79,96","109,352","94,85","53,286"
02.02.2024,"381,35",160,"18,65","30,545","80,7","110,76","95,06","54,561"
01.02.2024,"370,95","159,6","18,798","30,71","81,49","111,9","95,2","54,519"
31.01.2024,"368,3","162,3","18,4","31,115","81,3","111,329","95,2","54,12"
30.01.2024,"376,9","162,4","18,296","31,225","82,58","110,6","95,035","53,411"
29.01.2024,"378,25","159,3","18,436","30,955","80,66","110,009","95,035","53,469"
26.01.2024,"371,8","158,5","17,844","30,94","80,02",110,"95,01","52,774"
25.01.2024,"372,8","156,9","18,096","30,86","80,792","109,51","94,87","53,085"
24.01.2024,"370,2","156,5","18,278","30,86","79,58","109,51","94,87","53,059"
23.01.2024,"367,45","156,5","18,598","30,62","79,36","109,13","94,87","52,993"
22.01.2024,"365,15","157,3","18,564","30,83",80,"109,99","94,87","53,754"
19.01.2024,"365,65","156,2","18,468","30,54","81,294","109,99","94,92","53,077"
18.01.2024,"361,65","153,9","18,31","29,81","79,19","110,15","94,92","53,061"
17.01.2024,"356,65","154,8","17,77","29,515","79,52","110,46","95,08","53,389"
16.01.2024,"358,35","154,3","17,896","29,52","81,603","110,46","95,35","54,007"
15.01.2024,"356,35","153,4","17,968","29,39","80,11","110,99","95,398","53,815"
12.01.2024,"354,65","155,9","17,858","29,555","80,6","110,99","95,27","54,513"
11.01.2024,"350,55","154,9","17,508","29,255","80,11","110,99","94,84","54,397"
10.01.2024,349,"155,7","17,484","29,615","80,05","110,627","94,78","54,287"
09.01.2024,"343,3",156,16,"29,705","80,17","110,627","94,77","54,309"
08.01.2024,"341,65","156,8","17,096","29,795","80,63","111,19","94,68","54,516"
05.01.2024,"335,55",157,"16,988","29,78","80,57","111,3","94,68","54,507"
04.01.2024,"337,5","156,4","16,166","30,005","80,91","111,756","94,85","54,686"
03.01.2024,"340,2","156,7","16,576","30,005","81,73","111,756","94,88","55,592"
02.01.2024,"337,05",157,"16,52","29,64","81,6","112,46",95,"55,7"
29.12.2023,"339,25","154,2","16,39","29,48","82,892","113,45","95,08","56,148"
28.12.2023,340,"152,6","16,122","29,6","83,08","113,45","95,08","57,044"
27.12.2023,"336,25","152,4","16,05","29,865","83,56","112,85",95,"57,579"
22.12.2023,"340,35","151,8","15,796","29,62","82,71","112,281",95,"57,039"
21.12.2023,"339,45","153,6","16,202","29,53","82,93","112,281",95,"57,223"
20.12.2023,"339,9","153,2","16,498","29,37","82,97","112,25","94,86","57,328"
19.12.2023,"339,05","153,3","16,336","29,33","82,4","112,74","94,846","56,723"
18.12.2023,"341,35",152,"16,752","29,175","81,64","112,2","94,846","56,695"
15.12.2023,"341,05","151,1","16,368","29,3","81,797","112,147","94,81","56,527"
14.12.2023,"332,75","149,1","16,632","29,24","83,073","111,726","94,935","54,748"
13.12.2023,"342,65","147,9","16,8","29,91","80,133","108,975","94,04","54,778"
12.12.2023,"345,85","148,5","17,052","30,03","79,576","108,799","93,92","54,104"
11.12.2023,"343,95","147,6","17,334","30,025","78,805","108,73","93,89","53,711"
08.12.2023,347,"147,1","17,2","29,96","78,938","108,903","94,06","53,332"
07.12.2023,"343,3",145,"17,484","29,94","79,564","109,624","94,19","54,178"
06.12.2023,"342,8","145,1","17,46","29,615","79,932","110,4","94,21","54,104"
05.12.2023,"344,85","146,2","17,37","29,24","79,201","108,41","94,21","53,119"
04.12.2023,"340,35","145,7","17,412","29,07","78,034","107,92","94,29","52,001"
01.12.2023,"344,2",144,"17,59","28,975","77,612","107,1","94,03","50,733"
30.11.2023,"348,1","143,2","17,34","28,625","78,931","107,3","94,03","50,365"
29.11.2023,345,"140,6","17,3","28,565","76,814","106,625","93,991","51,022"
28.11.2023,"346,95","139,6","16,82","28,445","76,191","105,935","93,48","50,079"
27.11.2023,"345,75","139,7","17,064","28,39","75,987","105,54","93,48","49,758"
24.11.2023,345,"139,9","17,14","28,55","75,194","105,54","93,48","49,32"
23.11.2023,"348,15","140,8","17,048","28,34","75,379","105,93","93,48","49,545"
22.11.2023,"347,15","140,9","16,642","28,275","75,718","105,93","93,46","50,429"
21.11.2023,"341,4",140,"16,65","28,22","75,423","105,93","93,42","49,827"
20.11.2023,"345,35",140,"16,904","28,32","76,973","105,67","93,42","49,37"
17.11.2023,"338,1","140,5","17,574","28,455","75,217","105,67","93,44","49,336"
16.11.2023,"346,1","139,5","17,46","28,02","75,193","104,5","93,348","49,401"
15.11.2023,341,138,"17,49","28,02","74,729","104,416","93,22","48,771"
14.11.2023,"339,55","136,3","17,614","28,185","75,268","104,416","93,176","48,966"
13.11.2023,"342,95","136,8","17,528","28,105","74,067","102,819","92,7","47,738"
10.11.2023,"346,15","136,9","17,39","27,66","73,826","103,624","92,788","48,012"
09.11.2023,"338,5","135,2","17,072","27,66","74,43","103,25","92,94","48,794"
08.11.2023,"338,4","135,1","17,084","27,74","75,032","103,22","92,94","49,055"
07.11.2023,"337,85","134,7","17,564","27,5","74,41","102,51","92,94","48,251"
06.11.2023,"332,2","134,3","17,63","27,845","73,361","102,456","93,04","47,223"
03.11.2023,"328,9",133,"17,23","27,845","74,374","102,9","93,052","43,629"
02.11.2023,"327,75","131,3","17,098","28,74","73,489","100,84","92,752","47,379"
01.11.2023,"327,3","131,6","17,366","28,41","72,532","98,817","92,46","46,481"
31.10.2023,"318,9","131,5","16,306","27,955","72,093","98,191","92,4","46,567"
