Date,Microsoft,JP Morgan,Toyota,AXA,Siemens-Bond,Microsoft Bond,ExxonMobil Bond,Germany Bond,Bitcoin,Ethereum,Cardano,Litecoin
2024-02-07,384.2,162.6,20.565,30.45,79.81,109.5,94.88,53.133,41111.414,2249.5806,0.4656,63.6161
2024-01-31,368.3,162.3,18.4,31.115,81.3,111.329,95.2,54.12,39405.2055,2112.6987,0.461,61.7528
2024-01-24,370.2,156.5,18.278,30.86,79.58,109.51,94.87,53.059,36860.076,2054.182,0.4381,60.8587
2024-01-17,356.65,154.8,17.77,29.515,79.52,110.46,95.08,53.389,39258.0557,2322.1434,0.4839,63.7242
2024-01-10,349.0,155.7,17.484,29.615,80.05,110.627,94.78,54.287,42470.4079,2355.0403,0.5168,63.6536
2024-01-03,340.2,156.7,16.576,30.005,81.73,111.756,94.88,55.592,39199.1005,2023.529,0.5099,59.7638
2023-12-22,340.35,151.8,15.796,29.62,82.71,112.281,95.0,57.039,39929.6258,2111.5391,0.5664,66.8959
2023-12-15,341.05,151.1,16.368,29.3,81.797,112.147,94.81,56.527,38455.6195,2033.9189,0.5519,65.0322
2023-12-08,347.0,147.1,17.2,29.96,78.938,108.903,94.06,53.332,41018.7489,2189.8811,0.5073,72.8198
2023-12-01,344.2,144.0,17.59,28.975,77.612,107.1,94.03,50.733,35501.7124,1914.8029,0.3527,65.6744
2023-11-24,345.0,139.9,17.14,28.55,75.194,105.54,93.48,49.32,34465.8087,1900.931,0.353,64.6033
2023-11-17,338.1,140.5,17.574,28.455,75.217,105.67,93.44,49.336,33475.4007,1793.6895,0.335,64.1957
2023-11-10,346.15,136.9,17.39,27.66,73.826,103.624,92.788,48.012,34889.0986,1943.3415,0.3613,68.4928
2023-11-03,328.9,133.0,17.23,27.845,74.374,102.9,93.052,43.629,32355.5121,1708.4155,0.3065,64.7623
2023-10-27,311.9,129.5,16.158,27.555,71.846,97.786,92.36,45.859,32086.7692,1684.6891,0.2738,63.4267
2023-10-20,308.9,135.1,16.32,27.215,71.229,96.654,92.02,45.975,28006.0086,1513.9234,0.237,59.834
2023-10-13,311.7,139.9,16.808,28.095,72.893,100.77,92.46,47.92,25537.6197,1475.3371,0.2341,58.5607
2023-10-06,310.0,136.9,15.89,27.855,70.782,98.333,92.16,45.427,26379.5544,1553.5414,0.25,61.8524
2023-09-29,299.1,137.0,16.826,28.2,72.109,101.5,92.522,47.12,25441.5924,1576.5303,0.2358,62.0601
2023-09-22,297.2,136.7,17.39,28.765,74.487,103.74,92.404,48.242,24924.5839,1494.2578,0.2297,60.3129
2023-09-15,309.95,140.6,17.572,29.42,74.023,105.011,92.742,49.232,24954.335,1539.2748,0.2349,61.8768
2023-09-08,312.45,134.3,16.448,27.655,74.032,104.83,92.67,50.56,24192.6248,1528.0035,0.2376,58.4509
2023-09-01,304.75,136.1,15.838,27.955,76.611,106.12,93.137,51.206,23927.654,1510.8263,0.2368,58.444
2023-08-25,299.7,136.0,15.07,27.5,75.012,105.345,92.31,51.298,24130.2874,1531.6592,0.2418,60.3249
2023-08-18,291.35,136.9,14.76,26.98,74.72,104.08,92.28,50.276,23925.9214,1525.5559,0.2424,58.891
2023-08-11,293.7,141.0,15.204,27.805,75.128,106.35,92.68,50.564,26834.9237,1686.3416,0.2679,76.2132
2023-08-04,297.85,141.6,15.474,27.355,75.8,105.944,92.71,50.97,26369.1074,1657.7877,0.2662,74.462
2023-07-28,307.25,142.2,15.008,28.205,76.25,108.2,92.86,52.193,26582.1142,1700.0504,0.2812,82.9712
2023-07-21,306.95,140.6,14.576,27.64,77.036,109.21,93.11,53.46,26873.3593,1699.7405,0.2814,84.441
2023-07-14,308.4,133.3,14.052,26.385,76.701,109.44,93.51,52.821,26970.8242,1724.3276,0.2924,84.5719
2023-07-07,307.4,131.5,14.942,25.4,75.259,107.068,92.44,51.477,27646.5025,1704.7115,0.2593,89.4933
2023-06-30,312.8,133.1,14.706,27.15,77.728,109.452,92.8,53.91,27930.3185,1772.3746,0.263,98.8822
2023-06-23,308.4,127.4,13.992,26.4,77.679,109.765,93.225,54.455,28055.0235,1732.1687,0.271,83.4207
2023-06-16,313.0,130.9,15.006,26.45,75.779,109.62,93.18,52.786,24027.1637,1566.8396,0.2402,69.413
2023-06-09,304.9,131.1,13.874,26.535,75.991,108.816,93.55,52.725,24641.066,1712.4511,0.2747,83.0139
2023-06-02,313.15,128.5,13.576,27.195,75.914,110.639,93.96,53.293,25433.1967,1780.1033,0.353,88.9818
2023-05-26,310.5,127.5,13.034,27.15,73.71,109.68,93.39,50.958,24896.6546,1704.0937,0.3381,81.3297
2023-05-19,294.3,128.7,13.198,27.835,73.787,110.12,93.858,51.573,24842.062,1674.6254,0.3404,84.8042
2023-05-12,283.55,125.7,13.146,27.105,76.569,112.029,94.93,53.762,24513.635,1653.1803,0.3383,73.6122
2023-05-05,282.1,123.2,12.42,28.685,77.433,111.186,94.98,53.59,26341.8564,1779.2462,0.352,79.252
2023-04-27,276.4,124.2,12.362,29.605,76.571,112.225,94.79,52.457,26714.3292,1730.7557,0.3713,81.2726
2023-04-20,260.6,128.3,12.162,29.17,77.308,111.403,94.12,52.742,25773.5913,1773.8338,0.3656,82.3432
2023-04-13,262.05,115.0,12.286,29.2,79.32,112.362,94.4,53.457,27502.3982,1820.3711,0.3853,85.2684
2023-04-04,262.15,117.2,12.948,28.615,78.072,110.92,94.17,54.824,25701.6155,1707.5375,0.3555,84.3898
2023-03-28,252.9,118.68,12.788,27.1,76.417,109.509,93.735,54.508,25148.9734,1635.9121,0.3397,82.2552
2023-03-21,253.95,120.72,12.3,27.74,75.31,111.05,93.299,55.652,26140.9876,1678.0341,0.3447,76.7852
2023-03-14,241.25,124.48,12.752,27.625,75.236,109.51,92.608,53.621,23101.8189,1590.5378,0.3213,78.7595
2023-03-07,240.3,131.26,13.112,30.145,77.2,107.7,91.626,51.651,21064.1606,1480.9505,0.3133,81.8098
2023-02-28,235.6,135.32,12.728,30.12,74.51,106.74,91.813,51.562,21895.6894,1518.8899,0.3334,88.6568
2023-02-21,236.65,131.0,12.552,28.3,76.285,107.928,92.26,52.912,22932.9766,1556.0034,0.3683,87.9383
2023-02-14,254.3,132.98,13.256,28.38,79.219,111.06,92.78,54.209,20702.6752,1450.7624,0.3599,89.0741
2023-02-07,249.35,133.8,13.41,28.4,80.403,112.02,93.0,55.272,21687.2855,1558.857,0.372,94.1132
2023-01-31,227.0,128.6,13.5,28.515,80.272,112.542,93.47,55.799,21310.8534,1461.2956,0.3605,86.8938
2023-01-24,222.3,127.12,13.362,28.25,81.771,112.369,93.605,57.398,20777.8271,1428.3289,0.3299,80.0548
2023-01-17,222.05,130.32,13.35,27.995,82.886,112.29,93.6,57.892,19632.5932,1454.87,0.321,80.8313
