Date,Microsoft,JP Morgan,Toyota,AXA,Siemens-Bond,Microsoft Bond,ExxonMobil Bond,Germany Bond,Bitcoin,Ethereum,Cardano,Polkadot
2024-02-07,"384,2","162,6","20,565","30,45","79,81","109,5","94,88","53,133","41111,414","2249,5806","0,4656","6,4411"
2024-02-06,"375,3","162,6","20,17","30,7","80,15","109,388","94,8","53,049","40068,6934","2206,4906","0,4635","6,3273"
2024-02-05,"377,1","162,9","18,934","30,245","79,96","109,352","94,85","53,286","39710,9729","2140,1694","0,4592","6,2627"
2024-02-02,"381,35",160,"18,65","30,545","80,7","110,76","95,06","54,561","39980,5857","2136,7727","0,4759","6,4187"
2024-02-01,"370,95","159,6","18,798","30,71","81,49","111,9","95,2","54,519","39608,3727","2118,2655","0,4656","6,2429"
2024-01-31,"368,3","162,3","18,4","31,115","81,3","111,329","95,2","54,12","39405,2055","2112,6987","0,461","6,1535"
2024-01-30,"376,9","162,4","18,296","31,225","82,58","110,6","95,035","53,411","39576,1925","2163,1703","0,4744","6,3089"
2024-01-29,"378,25","159,3","18,436","30,955","80,66","110,009","95,035","53,469","39927,4252","2136,6421","0,4849","6,5125"
2024-01-26,"371,8","158,5","17,844","30,94","80,02",110,"95,01","52,774","38545,6267","2088,8115","0,4463","6,1328"
2024-01-25,"372,8","156,9","18,096","30,86","80,792","109,51","94,87","53,085","36808,8782","2045,1466","0,4301","5,9318"
2024-01-24,"370,2","156,5","18,278","30,86","79,58","109,51","94,87","53,059","36860,076","2054,182","0,4381","5,9404"
2024-01-23,"367,45","156,5","18,598","30,62","79,36","109,13","94,87","52,993","36682,8209","2065,0425","0,4389","5,8482"
2024-01-22,"365,15","157,3","18,564","30,83",80,"109,99","94,87","53,754","36266,5572","2121,9161","0,4395","5,8189"
2024-01-19,"365,65","156,2","18,468","30,54","81,294","109,99","94,92","53,077","38158,0493","2282,8763","0,4603","6,2991"
2024-01-18,"361,65","153,9","18,31","29,81","79,19","110,15","94,92","53,061","37931,2539","2268,0033","0,4615","6,4437"
2024-01-17,"356,65","154,8","17,77","29,515","79,52","110,46","95,08","53,389","39258,0557","2322,1434","0,4839","6,7303"
2024-01-16,"358,35","154,3","17,896","29,52","81,603","110,46","95,35","54,007","39666,4624","2378,816","0,4925","6,8838"
2024-01-15,"356,35","153,4","17,968","29,39","80,11","110,99","95,398","53,815","38904,8643","2297,3535","0,4826","6,87"
2024-01-12,"354,65","155,9","17,858","29,555","80,6","110,99","95,27","54,513","39126,1072","2304,1911","0,4991","6,9049"
2024-01-11,"350,55","154,9","17,508","29,255","80,11","110,99","94,84","54,397","42254,2789","2387,3757","0,5298","7,4412"
2024-01-10,349,"155,7","17,484","29,615","80,05","110,627","94,78","54,287","42470,4079","2355,0403","0,5168","7,2798"
2024-01-09,"343,3",156,16,"29,705","80,17","110,627","94,77","54,309","42162,6534","2142,2256","0,4672","6,5077"
2024-01-08,"341,65","156,8","17,096","29,795","80,63","111,19","94,68","54,516","42869,2619","2130,0849","0,4939","6,8287"
2024-01-05,"335,55",157,"16,988","29,78","80,57","111,3","94,68","54,507","40297,2623","2069,1396","0,4926","6,7897"
2024-01-04,"337,5","156,4","16,166","30,005","80,91","111,756","94,85","54,686","40405,0054","2075,9629","0,5212","7,1982"
2024-01-03,"340,2","156,7","16,576","30,005","81,73","111,756","94,88","55,592","39199,1005","2023,529","0,5099","7,0009"
2024-01-02,"337,05",157,"16,52","29,64","81,6","112,46",95,"55,7","41100,1973","2156,2689","0,5537","7,688"
2023-12-29,"339,25","154,2","16,39","29,48","82,892","113,45","95,08","56,148","38059,8102","2080,0169","0,5503","7,4954"
2023-12-28,340,"152,6","16,122","29,6","83,08","113,45","95,08","57,044","38509,8132","2120,51","0,5582","7,6421"
2023-12-27,"336,25","152,4","16,05","29,865","83,56","112,85",95,"57,579","39086,6994","2141,3271","0,5706","7,8381"
2023-12-22,"340,35","151,8","15,796","29,62","82,71","112,281",95,"57,039","39929,6258","2111,5391","0,5664","7,2421"
2023-12-21,"339,45","153,6","16,202","29,53","82,93","112,281",95,"57,223","39861,8847","2033,9239","0,5789","7,5626"
2023-12-20,"339,9","153,2","16,498","29,37","82,97","112,25","94,86","57,328","39864,6207","2009,0708","0,539","6,3443"
2023-12-19,"339,05","153,3","16,336","29,33","82,4","112,74","94,846","56,723","38494,8084","1983,2583","0,5247","6,1134"
2023-12-18,"341,35",152,"16,752","29,175","81,64","112,2","94,846","56,695","39051,2786","2029,5432","0,55","6,2958"
2023-12-15,"341,05","151,1","16,368","29,3","81,797","112,147","94,81","56,527","38455,6195","2033,9189","0,5519","6,3808"
2023-12-14,"332,75","149,1","16,632","29,24","83,073","111,726","94,935","54,748","39149,3694","2106,9093","0,5845","6,8475"
2023-12-13,"342,65","147,9","16,8","29,91","80,133","108,975","94,04","54,778","39426,7132","2077,4406","0,6085","7,0067"
2023-12-12,"345,85","148,5","17,052","30,03","79,576","108,799","93,92","54,104","38433,824","2041,2937","0,5332","6,579"
2023-12-11,"343,95","147,6","17,334","30,025","78,805","108,73","93,89","53,711","38296,6122","2064,93","0,5111","6,2268"
2023-12-08,347,"147,1","17,2","29,96","78,938","108,903","94,06","53,332","41018,7489","2189,8811","0,5073","6,3569"
2023-12-07,"343,3",145,"17,484","29,94","79,564","109,624","94,19","54,178","40105,7068","2183,1662","0,4228","5,7888"
2023-12-06,"342,8","145,1","17,46","29,615","79,932","110,4","94,21","54,104","40614,0162","2071,6184","0,411","5,6188"
2023-12-05,"344,85","146,2","17,37","29,24","79,201","108,41","94,21","53,119","40895,0042","2128,2602","0,3943","5,471"
2023-12-04,"340,35","145,7","17,412","29,07","78,034","107,92","94,29","52,001","38725,1233","2068,7026","0,3754","5,189"
2023-12-01,"344,2",144,"17,59","28,975","77,612","107,1","94,03","50,733","35501,7124","1914,8029","0,3527","5,0279"
2023-11-30,"348,1","143,2","17,34","28,625","78,931","107,3","94,03","50,365","34620,2796","1884,4342","0,3452","5,0193"
2023-11-29,345,"140,6","17,3","28,565","76,814","106,625","93,991","51,022","34471,3833","1848,1414","0,3478","4,7079"
2023-11-28,"346,95","139,6","16,82","28,445","76,191","105,935","93,48","50,079","34364,5186","1862,0209","0,35","4,7878"
2023-11-27,"345,75","139,7","17,064","28,39","75,987","105,54","93,48","49,758","34011,3363","1850,6992","0,3452","4,7129"
2023-11-24,345,"139,9","17,14","28,55","75,194","105,54","93,48","49,32","34465,8087","1900,931","0,353","4,7926"
2023-11-23,"348,15","140,8","17,048","28,34","75,379","105,93","93,48","49,545","34191,5636","1890,6633","0,3543","4,706"
2023-11-22,"347,15","140,9","16,642","28,275","75,718","105,93","93,46","50,429","34393,3138","1896,0049","0,3494","4,7493"
2023-11-21,"341,4",140,"16,65","28,22","75,423","105,93","93,42","49,827","32951,5353","1780,1801","0,3298","4,4945"
2023-11-20,"345,35",140,"16,904","28,32","76,973","105,67","93,42","49,37","34248,1981","1847,9251","0,3472","4,8418"
2023-11-17,"338,1","140,5","17,574","28,455","75,217","105,67","93,44","49,336","33475,4007","1793,6895","0,335","4,7917"
2023-11-16,"346,1","139,5","17,46","28,02","75,193","104,5","93,348","49,401","33377,7144","1808,607","0,3426","4,9402"
2023-11-15,341,138,"17,49","28,02","74,729","104,416","93,22","48,771","34950,3034","1899,6054","0,3492","5,1241"
2023-11-14,"339,55","136,3","17,614","28,185","75,268","104,416","93,176","48,966","32673,2914","1820,6687","0,3292","4,787"
2023-11-13,"342,95","136,8","17,528","28,105","74,067","102,819","92,7","47,738","34143,4815","1925,105","0,3353","5,0229"
2023-11-10,"346,15","136,9","17,39","27,66","73,826","103,624","92,788","48,012","34889,0986","1943,3415","0,3613","4,9503"
2023-11-09,"338,5","135,2","17,072","27,66","74,43","103,25","92,94","48,794","34459,2442","1995,8137","0,345","4,7698"
2023-11-08,"338,4","135,1","17,084","27,74","75,032","103,22","92,94","49,055","33334,3002","1766,0718","0,3347","4,7253"
2023-11-07,"337,85","134,7","17,564","27,5","74,41","102,51","92,94","48,251","33139,4171","1765,0059","0,3286","4,6067"
2023-11-06,"332,2","134,3","17,63","27,845","73,361","102,456","93,04","47,223","32685,4931","1772,8009","0,3393","4,6315"
2023-11-03,"328,9",133,"17,23","27,845","74,374","102,9","93,052","43,629","32355,5121","1708,4155","0,3065","4,3018"
2023-11-02,"327,75","131,3","17,098","28,74","73,489","100,84","92,752","47,379","32898,3141","1695,747","0,3045","4,3671"
2023-11-01,"327,3","131,6","17,366","28,41","72,532","98,817","92,46","46,481","33486,238","1744,4594","0,2906","4,4674"
2023-10-31,"318,9","131,5","16,306","27,955","72,093","98,191","92,4","46,567","32737,4994","1714,6363","0,2762","4,197"
2023-10-30,"318,25","129,2","15,898","28,075","71,779","97,786","92,41","45,9","32508,922","1705,4116","0,2852","4,2588"
2023-10-27,"311,9","129,5","16,158","27,555","71,846","97,786","92,36","45,859","32086,7692","1684,6891","0,2738","3,9165"
2023-10-26,"311,25",134,"16,084","27,56","71,684","97,399","92,23","45,926","32340,779","1706,8204","0,2721","4,0108"
2023-10-25,"322,6","132,7","15,986","27,425","73,6","97,72","92,33","45,966","32630,9073","1690,9551","0,2654","4,0527"
2023-10-24,"312,75","133,8","15,864","27,435","71,842","98,473","92,33","46,551","31959,6126","1682,7882","0,2632","3,9515"
2023-10-23,309,132,"16,134","27,165","71,557","97,48","92,16","45,902","30888,3211","1654,3153","0,2615","4,0596"
2023-10-20,"308,9","135,1","16,32","27,215","71,229","96,654","92,02","45,975","28006,0086","1513,9234","0,237","3,5113"
2023-10-19,313,137,"16,412","27,785","71,032",97,"91,97","46,141","27125,7973","1480,8743","0,2333","3,4469"
2023-10-18,"314,5",139,"16,178",28,"71,043","98,428","92,07","46,08","26882,8025","1484,2293","0,231","3,47"
2023-10-17,"313,95","140,4","16,85","28,335","73,94","98,446","92,166","46,197","26878,1806","1480,7947","0,2337","3,4756"
